jour,mois,saison,temp_moyenne,nb_evenements,ensoleillement,distance_aeroport,jours_sans_pluie,nuitées
7,9,,18.045307151673875,0,7.941397713563463,23.025843248602456,17.99109793726571,46.382035249176354
20,6,ete,,1,6.464341469585605,17.04236660841238,16.532487214196806,57.415830170626016
29,11,automne,19.767898146293,0,6.56830691734427,18.167354087964632,17.60739795330544,66.46011811860697
15,11,automne,18.35042632433263,5,6.371055771109836,26.55380263681677,26.707438254328878,113.44939400144601
11,1,hiver,18.244296530895806,2,6.014888772472241,15.046828048929932,17.179107173247537,78.69329847628988
8,1,hiver,25.536942141693565,2,9.868067519944672,15.039261056533899,19.477609132366602,144.14324605818345
29,2,hiver,22.785893303346242,2,9.598786717240877,29.02417182821999,28.310528912389536,159.7466679193456
21,9,automne,16.48052674849783,2,9.871348912771586,19.27221650731808,13.741638447662641,58.2301269840311
7,3,printemps,17.222266335932893,2,8.008999097537048,26.232727966155338,33.91153985421764,167.225981985171
26,1,hiver,22.458965276998065,2,7.514742424399687,12.006485690855328,26.330890073265763,155.4569913023671
19,5,printemps,22.45209785851383,2,7.551235780217327,12.406983652045735,1.4237937065968467,61.51969999669865
23,7,ete,16.981098804689655,3,10.042203145812216,15.435277422107895,14.84645803471635,83.7155200964019
11,6,ete,18.830046665489178,3,4.359704356008342,17.592696117336555,-0.24343498206108904,36.61185359929119
11,12,hiver,29.23403020043484,2,6.971027793285155,12.98356701673444,18.033206017131995,114.55307312216327
24,1,hiver,17.067259557393285,1,6.225308744991166,21.846482382149997,15.016888958794643,59.465725782116756
21,5,printemps,29.554022942293926,2,10.719775093176816,22.17297084328391,28.348547592001886,153.29308372029757
4,5,printemps,25.518334712629027,2,7.045084953105763,15.509285610807312,11.189816510446661,84.25455753237948
8,6,ete,28.627081375277328,3,4.728022329120451,15.907006503045992,23.8773500193449,110.53594196942159
24,3,printemps,16.854640139652854,2,8.446847284493579,16.566092830742193,25.68847609468434,122.84447269831696
3,5,printemps,19.157220629686194,3,7.259771610212172,14.175571005534794,22.57194852228014,135.0722443760041
22,7,ete,17.754180956122184,4,6.886142384630077,5.522211500110412,31.401235817725286,170.58202806014083
21,5,printemps,25.633765959631013,2,6.679936086548345,19.574798469275674,40.682888508418756,253.4089242825391
2,5,printemps,17.16158113663955,4,6.601030441678386,17.847811536495115,21.119419426990675,102.27348406875984
24,5,printemps,23.65607746671437,0,9.41712062971329,18.35927077586713,24.05179516890368,130.46020561981948
12,10,automne,23.391497055960205,2,8.447574733115687,14.94098239495614,11.197230461678897,75.21693442900627
30,10,automne,19.759852346429117,1,7.604068488738942,24.052487495751336,9.804765859767574,30.822642854657897
6,3,printemps,26.493298670821677,0,5.8035222463073275,32.12695794708541,30.33829650332728,121.32996248601799
2,1,hiver,20.538399348633025,3,7.662213353224159,15.829575719894223,29.015255061033578,179.59938627535138
28,5,printemps,24.170428593041514,1,8.521255715200052,26.99848069486174,9.703801258287367,62.345729613969155
21,9,automne,17.526483155411086,5,8.597308896518982,21.83324906073647,6.917794574905274,55.55128584261058
1,1,hiver,16.382815929465874,4,8.321768765983538,20.17709945891217,13.512631953194102,93.13954305127972
12,3,printemps,23.65572764628804,1,6.154814666344944,18.279386317185843,18.58622030565889,92.42637784396709
26,4,printemps,22.154201221668743,0,3.1936468148159616,19.58391564883004,15.908735915167558,60.63475102955451
22,1,hiver,21.216538320641828,0,11.599237520103866,25.74795344849313,21.605148683322525,111.33501659976766
29,1,hiver,18.281558260311083,2,5.380726251782937,14.309595195217439,29.170625123726055,169.64478915739977
12,8,ete,27.74604738263152,0,4.070084082666123,18.624966344242743,24.621043787549382,95.68877246591111
25,2,hiver,14.417070978730765,5,8.26103122600819,26.245001039112516,25.361209976841238,126.54246867293173
17,12,hiver,14.14328495134514,2,4.582962993538558,24.918573467639987,-4.515363944088776,15.61587487424088
27,8,ete,24.710832525819143,1,6.390402502850229,14.387070305248782,3.860969798809176,55.0694389455967
27,7,ete,24.30048192071535,2,9.097700851617656,19.087040611094775,12.035431923539424,80.76821558780087
31,10,automne,21.76881389495934,2,11.545374536948092,23.640039239170136,13.686063518404936,66.35875256918438
10,10,automne,18.56023889048597,0,8.775023616544754,23.317140596605483,28.398278349392335,103.33190329297628
28,2,hiver,22.51211064595206,2,7.12168145824624,24.87567260621644,11.210985685318684,71.4083869167583
28,6,ete,28.60415148559767,2,7.897160891186316,21.921429440836487,26.669276613573683,118.60141491774071
16,6,ete,32.57773103937112,1,4.382828085650194,22.75976573997892,12.14894261193702,32.92410792023282
15,3,printemps,11.717931472624217,2,7.098495781669699,21.713982109635793,7.991157126071846,47.42253433274953
30,11,automne,17.90539940375727,1,7.100436792146112,27.898665387639454,8.455503409562084,16.212206742979202
